id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
149,,2,0,0,41,2,0.88020831,0,0.11979166,0.01300578,0.13017751,38056,97.464828,0,51.7,1,0,0,2,0,0,1,0,0,1,0,0,0.53220797
150,,3,2,1,66,2,1,0,0,0.12981744,0.03095975,59235,1080.9845,0,40.7,1,0,1,4,0,0,0,0,0,0,0,1,0.55780155
151,1,3,4,1,73,1,1,0,0,0.15411931,0.10402685,40769,1543.619,0,52.6,0,0,0,9,0,0,0,0,0,0,0,0,0.60729253
152,1,3,3,0,42,1,0.68516284,0,0.31483716,0.19401947,0.03808244,70129,183.87068,1,50.9,0,0,0,1,0,0,0,0,0,0,0,0,0.38977152
153,0,2,6,1,42,2,0.18381916,0,0.81618082,0.19439252,0.02682403,81581,60.473431,0,45.3,0,0,1,2,0,1,0,0,0,0,0,0,0.33250877
154,1,1,2,0,41,1,1,0,0,0.23501997,0.05130513,72908,1144.8127,1,49.8,0,0,1,6,0,0,0,0,0,0,0,0,0.44344905
155,0,3,5,1,55,2,1,0,0,0.19604863,0.02816901,60135,2575.123,0,60.9,0,0,0,8,0,1,0,0,0,0,0,0,0.55501252
156,,2,2,0,67,2,0.8170163,0,0.18298368,0.28099173,0.03583502,74384,225.86588,0,40.8,1,0,1,8,0,0,0,0,0,0,0,0,0.39284799
157,0,2,8,1,82,2,0.04113754,0.5907709,0.36809158,0.07331137,0.05084164,44583,72.783394,0,44,1,0,1,6,0,0,0,0,0,0,0,0,0.40167803
158,,3,4,0,68,2,1,0,0,0.09617548,0.06113537,48171,1231.3881,0,47.4,0,1,0,2,0,0,0,0,0,0,0,0,0.51579887
159,1,3,3,1,46,1,1,0,0,0.10295231,0.04748062,39028,2189.9954,1,56.7,0,0,0,7,0,1,0,0,0,0,0,0,0.62245959
160,0,2,8,1,37,2,0.04113754,0.5907709,0.36809158,0.07331137,0.05084164,44583,72.783394,0,42.2,1,0,1,1,0,1,0,0,0,0,0,0,0.41415745
161,1,1,4,0,66,1,1,0,0,0.08660714,0.09430256,52500,3839.6995,0,59.7,0,0,0,8,0,0,0,0,0,0,0,0,0.50370431
162,,3,2,0,52,2,1,0,0,0.12674418,0.03931848,51938,2330.9092,0,62.1,0,0,0,3,0,0,1,0,0,1,0,0,0.50787175
163,1,3,9,1,55,5,1,0,0,0.10122502,0.05165767,58641,1320.239,0,54,0,0,1,3,0,0,1,0,0,0,1,0,0.56388271
164,1,2,7,1,76,2,1,0,0,0.10837439,0.02117061,36758,1010.8644,0,61.8,0,0,1,7,0,0,0,0,0,0,0,0,0.62066686
